Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
ICCSP 2017	ICCSP	2017	International Conference on Cryptography, Security and Privacy - Ei Compendex and Scopus	Wuhan, China
ICKSE 2017	ICKSE	2017	3rd International Conference on Knowledge and Software Engineering-Ei Compendex, Scopus & ISI CPCS	Paris, France
ICKE 2017	ICKE	2017	2017 3rd International Conference on Knowledge Engineering (ICKE 2017)	Tokyo, Japan
BDAS 2017	BDAS	2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
ICBCT 2017	ICBCT	2017	2017 International Conference on Bioinformatics and Computing Technologies (ICBCT 2017)	Hong Kong
SWM 2017	SWM	2017	1st Workshop on Scholarly Web Mining	Cambridge, UK
Big Data Analytics@IJCNN 2017	Big Data Analytics@IJCNN	2017	Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
IEEE TDSC Journal SI 2016	IEEE TDSC Journal SI	2016	IEEE TDSC Special Issue on Data-Driven Dependability and Security	N/A
FLAIRS 2017	FLAIRS	2017	FLAIRS-30: Special Track in Data Mining	Marco Island, Florida
EAST - FLAIRS 2017	EAST - FLAIRS	2017	lEArning from heterogeneouS data analyTics - FLAIRS	Marco Island, Florida, USA
Sideways 2017	Sideways	2017	Social Media World Sensors 2017	Madeira
ICISDM 2017	ICISDM	2017	2017 International Conference on Information System and Data Mining (ICISDM 2017)-SCOPUS, Ei Compendex	South Carolina, USA
IJCI 2016	IJCI	2016	International Journal on Cybernetics & Informatics	N/A
TIST UI 2017	TIST UI	2017	ACM TIST Special Issue on Urban Intelligence	N/A
ITPF 2016	ITPF	2016	The 5th international conference on Information Technology, Present and Future	Mashhad,Iran
WSDM Cup 2017	WSDM Cup	2017	WSDM Cup 2017: Knowledge Base Quality and Search	Cambridge
KDD 2017	KDD	2017	Knowledge Discovery and Data Mining	Halifax, Nova Scotia - Canada
ICOK 2017	ICOK	2017	2017 2nd International Conference on Knowledge (ICOK 2017)	Chengdu, China
IEA/AIE NAAD 2017	IEA/AIE NAAD	2017	Special Track on Novel Approaches to Anomaly Detection	Arras, France
SWJ - KB generation & population 2016	SWJ - KB generation & population	2016	Semantic Web Journal - Special Issue on Machine Learning for Knowledge Base Generation and Population	N/A
ICASC 2017	ICASC	2017	International Conference on Advances in Soft Computing	Kanyakumari, India
JWS-SS 2016	JWS-SS	2016	Journal of Web Semantics special issue on Semantic Statistics	N/A
IEEE-ICCCBDA 2017	IEEE-ICCCBDA	2017	2nd International Conference on Cloud Computing and Big Data Analysis ICCCBDA -IEEE,Ei Compendex	Chengdu, China
DMCIT 2017	DMCIT	2017	2017 International Conference on Data Mining, Communications and Information Technology(DMCIT 2017)--Ei&Scopus	Phuket
ICCDA 2017	ICCDA	2017	2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
IEEE-ICDDM 2017	IEEE-ICDDM	2017	IEEE--2017 6th International Workshops on Database and Data Mining (ICDDM 2017)--Ei Compendex	Chengdu, China
MLDM 2017	MLDM	2017	Machine Learning and Data Mining in Pattern Recognition	New York, USA
CCML 2017	CCML	2017	The 16th China Conference on Machine Learning	Tianjin China
KES IDT DSS 2017	KES IDT DSS	2017	KES IDT - Decision Support Systems - Special Session	Vilamoura, Algarve, Portugal
ISMIS 2017	ISMIS	2017	23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
ICCDM 2017	ICCDM	2017	2nd International Conference on Computer and Digital Manufacturing	Singapore
EnGeoData - JDSA 2017	EnGeoData - JDSA	2017	Special Issue on Environmental and Geospatial Data Analytics - International Journal of Data Science and Analytics, Springer	N/A
AIM@EPIA 2017	AIM@EPIA	2017	Artificial Intelligence in Medicine	Porto, Portugal
ECML-PKDD 2017	ECML-PKDD	2017	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Skopje, Macedonia
IEEE ITOEC 2017	IEEE ITOEC	2017	2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference	Chongqing
INIT/AERFAISummerSchoolML 2017	INIT/AERFAISummerSchoolML	2017	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
DSAA 2017	DSAA	2017	The 4th IEEE International Conference on Data Science and Advanced Analytics 2017	Tokyo, Japan
BigGraphs 2016	BigGraphs	2016	Third IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington, D.C.
BigGraphs 2016	BigGraphs	2016	The 3rd IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington, D.C.
CDKP 2016	CDKP	2016	Fifth International Conference on Data Mining & Knowledge Management Process	Dubai,UAE
SIGNAL 2016	SIGNAL	2016	Third International Conference on Signal and Image Processing	Dubai, UAE
CCSEA 2017	CCSEA	2017	Seventh International Conference on Computer Science, Engineering and Applications	Dubai, UAE
SDM 2017	SDM	2017	SDM'17: the Seventeenth SIAM International Conference on Data Mining	Houston, Texas, USA
ICDE 2017	ICDE	2017	IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017	San Diego
TMNZ 2016	TMNZ	2016	First New Zealand Text Mining Workshop	Hamilton, New Zealand
INCISCOS 2016	INCISCOS	2016	International Conference on Information Systems and Computer Science	Quito, Ecuador
ADS 2017	ADS	2017	ACIIDS 2017 Special Session on Applications of Data Science	Kanazawa, Japan
MAMLAKE 2017	MAMLAKE	2017	Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
CPSCom 2016	CPSCom	2016	The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
GreenCom 2016	GreenCom	2016	The 12th IEEE International Conference on Green Computing and Communications	Chengdu, Sichuan, China
iThings 2016	iThings	2016	The 9th IEEE International Conference on Internet of Things	Chengdu, Sichuan, China
SmartData 2016	SmartData	2016	The 2016 IEEE International Symposium on Smart Data	Chengdu, Sichuan, China
SABID 2016	SABID	2016	Workshop on Solar & Stellar Astronomy BIg Data	Washington, DC, USA
SDAAM 2017	SDAAM	2017	IEEE Symposium on Data Analytics for Advanced Manufacturing	Washington DC
IC-ININFO 2016	IC-ININFO	2016	International Conference on Integrated Information	Athens, Greece
MSA 2016	MSA	2016	Multivariate Statistical Analysis MSA 2016	Łódź
BDM-ISF 2016	BDM-ISF	2016	Special issue on Behavioral-Data Mining in Information Systems and the Big Data Era	N/A
DATA STREAMS TRACK 2017	DATA STREAMS TRACK	2017	DATA STREAMS TRACK - ACM SAC 2017	Marrakech, Morocco
ACM SAC-RS 2017	ACM SAC-RS	2017	ACM SIGAPP Symposium On Applied Computing 2017 - Track on Recommender Systems: Theory and Applications	Marrakech, Morocco
CSTSC 2016	CSTSC	2016	Workshop on AppliCations, Services and Techniques related to Smart City	Gran Canaria (Spain, Europe)
DMDE 2016	DMDE	2016	Special Issue on Data Mining and its Applications in Digital Ecosystems	N/A
MindCare 2016	MindCare	2016	6th EAI International Symposium on Pervasive Computing Paradigms for Mental Health	BARCELONA Spain
SPIE-ICGIP 2016	SPIE-ICGIP	2016	SPIE--The 2016 8th International Conference on Graphic and Image Processing (ICGIP 2016)--Ei & Scopus	Tokyo, Japan
ADMA 2016	ADMA	2016	Advanced Data Mining and Applications	Gold Coast
WiML 2016	WiML	2016	11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
MDDM 2016	MDDM	2016	1st International Workshop on Maritime Domain Data Mining at ICDM 2016	Barcelona
SoMeRis 2016	SoMeRis	2016	2nd International ICDM Workshop on Data Science for Social Media and Risk (SoMeRis 2016)	Barcelona, Spain
ICKET 2016	ICKET	2016	2016 the 5th International Conference on Knowledge and Education Technology (ICKET 2016)	Hertfordshire, UK
CyberSafety 2016	CyberSafety	2016	1st International Workshop on Computational Methods for CyberSafety	Indianapolis, IN
MLPM 2016	MLPM	2016	Special Session on Machine Learning for Predictive Models in Engineering Applications - IEEE ICMLA 2016	California
serecsys 2016	serecsys	2016	ICDM 2016 Workshop on Semantics-Enabled Recommender Systems (SERecSys)	Barcelona, Spain
ACML 2016	ACML	2016	8th Asian Conference on Machine Learning	Hamilton, New Zealand
AECIA 2016	AECIA	2016	Third International Afro-European Conference for Industrial Advancement	Marrakesh, Morrocco
DMS 2016	DMS	2016	IEEE International Workshop on Data Mining for Service	Barcelona, Spain
BigDF 2016	BigDF	2016	IEEE International Workshop on Foundations of Big Data Computing	Hyderabad, India
DaMNet 2016	DaMNet	2016	The Sixth IEEE ICDM Workshop on Data Mining in Networks	Barcelona, Spain
DSBDA 2016	DSBDA	2016	The Fourth ICDM Workshop on Data Science and Big Data Analytics	Barcelona, Spain
WSDM 2017	WSDM	2017	International Conference on Web Search and Data Mining	Cambridge, UK
IEEE ICKEA 2016	IEEE ICKEA	2016	2016 3rd International Conference on Knowledge Engineering and Applications (ICKEA 2016)	Singapore
DMIoT 2016	DMIoT	2016	The First Workshop on Data Mining for Internet of Things (DMIoT 2016) held in conjunction with the IEEE International Conference on Data Mining series (ICDM)	Barcelona, Spain
DAPS 2016	DAPS	2016	Data mining for the Analysis of Performance and Success	Barcelona (Spain)
IEEE HPSC 2016	IEEE HPSC	2016	The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
DAVA 2016	DAVA	2016	2nd International Workshop on DAta mining meets Visual Analytics at big data era In Conjunction with CIKM 2016	Indianapolis, USA
GOODTECHS 2016	GOODTECHS	2016	Special Track on Open Challanges in Online Social Networks@GOODTECHS 2016	Venice
ALatIKNOW 2016	ALatIKNOW	2016	Active Learning: Applications, Foundations and Emerging Trends	Graz, Austria
IWBDS 2016	IWBDS	2016	International Workshop on Big Data of Services	Shanghai, China
AI 2016	AI	2016	The 29th Australasian Joint Conference on Artificial Intelligence	Hobart, Australia
ISDSA 2016	ISDSA	2016	First International Symposium on Data Science and Applications	Milan, Italy
PAIS'2016	PAIS	2016	The 2nd International Conference on Pattern Analysis and Intelligent Systems	Khenchela, Algeria
SoDM 2016	SoDM	2016	Special Session on Data Mining (in conjunction with CIIS 2016)	Institut Teknologi Brunei, Brunei
CIIS 2016	CIIS	2016	Computational Intelligence in Information Systems	Brunei
DARE 2016	DARE	2016	ECML/PKDD 2016, 4th International Workshop on Data Analytics for Renewable Energy Integration	Riva del Garda, Italy
SSCI 2016	SSCI	2016	2016 IEEE Symposium on Computational Intelligence in Dynamic and Uncertain Environments	Athens, Greece
SSDM 2017	SSDM	2017	The 2nd ECML/PKDD 2016 workshop on Statistically Sound Data Mining	Riva del Garda, Italy
BDTA 2016	BDTA	2016	7th EAI International Conference on Big Data Technologies and Applications	SEOUL, SOUTH KOREA
MIDAS 2016	MIDAS	2016	The First Workshop on MIning DAta for financial applicationS @ECML-PKDD 2016	Riva del Garda (Italy)
ISCMI 2016	ISCMI	2016	3rd Intl. Conference on Soft Computing & Machine Intelligence	Dubai, UAE
ICDIM 2016	ICDIM	2016	Eleventh International Conference on Digital Information Management	Porto, Portugal
SIMBig 2016	SIMBig	2016	3rd Annual International Symposium on Information Management and Big Data	Cuzco
SSDM 2016	SSDM	2016	The 2nd ECML/PKDD Workshop on Statistically Sound Data Mining	Riva del Garda, Italy
MLSA 2016	MLSA	2016	Machine Learning and Data Mining for Sports Analytics (MLSA 16) @ ECML/PKDD 2016	Riva del Garda
UCC - IDP 2016	UCC - IDP	2016	UCC - IDP 2016: The 5th International Workshop on Intelligent Data Processing	Shanghai
Call for Book Chapters 2016	Call for Book Chapters	2016	Data Mining in Time Series and Streaming Databases	World Scientific
RTIS 2016	RTIS	2016	First International Conference on Real Time Intelligent Systems (RTIS 2016)	Beijing, China
MWDHealth 2016	MWDHealth	2016	The International Workshop on Mining Wearable Data for Healthcare	Chicago
MWDHealth 2016	MWDHealth	2016	The International Workshop on Mining Wearable Data for Healthcare	Chicago
AFRICOMM 2016	AFRICOMM	2016	8th EAI International Conference on e‐Infrastructure and e‐Services for Developing Countries	Ouagadougou, Burkina Faso (West Africa)
ICACTE 2016	ICACTE	2016	2016 9th International Conference on Advanced Computer Theory and Engineering (ICACTE 2016)	Hong Kong
BigData 2016	BigData	2016	The Third International Conference on Data Mining, Internet Computing, and Big Data	Mevlana University
TIME 2016	TIME	2016	23rd International Symposium on Temporal Representation and Reasoning	Copenhagen, Denmark
ACIS 2016	ACIS	2016	The Fifth Asian Conference on Information Systems	Krabi, Thailand
SNMAM 2016	SNMAM	2016	Track on Social Network and Media Analysis and Mining	Cusco, Peru
COMPRAIL 2016	COMPRAIL	2016	15th International Conference on Railway Engineering Design and Operation	Madrid, Spain
ICDM 2016	ICDM	2016	The IEEE International Conference on Data Mining	Barcelona, Spain
LWDA/KDML 2016	LWDA/KDML	2016	Workshop on Knowledge Discovery, Data Mining and Machine Learning	Potsdam, Germany
RTIS 2016	RTIS	2016	First International Conference on Real Time Intelligent Systems (RTIS 2016)	Beijing, China
frontiersQS 2016	frontiersQS	2016	New Frontiers of Quantified Self 2 Workshop @ UbiComp '16	Heidelberg
EEML 2016	EEML	2016	Third International Workshop on Experimental Economics and Machine Learning	Moscow, Russia
IDEAL 2016	IDEAL	2016	17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
IIP 2016	IIP	2016	9th International Conference on Intelligent Infoemation Processing	Melbourne
IJCRS 2016	IJCRS	2016	International Joint Conference on Rough Sets	Santiago, Chile
COREDEMA @ ECAI 2016	COREDEMA @ ECAI	2016	2nd International Workshop on Conflict Resolution in Decision Making	The Hague, The Netherlands
DIPDMWC 2016	DIPDMWC	2016	The Third International Conference on Digital Information Processing, Data Mining, and Wireless Communications	Moscow, Russia
CSPRED 2016	CSPRED	2016	Computer-Supported Peer Review in Education	Raleigh, U.S.
DaMIS 2016	DaMIS	2016	International Workshop on Data Mining on IoT Systems	London (UK)
Infer 2016	Infer	2016	International Workshop on Inference and Privacy in a Hyperconnected World	Darmstadt, Germany
EdRecSys 2016	EdRecSys	2016	International Workshop on Educational Recommender Systems	Omaha, USA
KACSTIT 2016	KACSTIT	2016	The 4th Saudi International Conference on Information Technology (Big Data Analysis)	Riyadh, Saudi Arabia
UrbComp 2016	UrbComp	2016	The 5th International Workshop on Urban Computing (in conjuction with KDD'16)	San Francisco, CA
ISMW FRUCT 2016	ISMW FRUCT	2016	International FRUCT conference on Intelligence, Soсial Media and Web	St. Petersburg, Russia
SNSS 2016	SNSS	2016	Social Network and Surveillance for Society, Springer	N.A.
MLG 2016	MLG	2016	12th International Workshop on Mining and Learning with Graphs	San Francisco, CA
EI-KDD 2016	EI-KDD	2016	KDD 2016 Workshop on Enterprise Intelligence	San Francisco, CA
IM4BigData 2016	IM4BigData	2016	Special Issue on Computational Intelligence, Neural, and Nature-inspired Methods for Big Data Processing	N/A
ODD 2016	ODD	2016	KDD 2016 Workshop on Outlier Definition, Detection, and Description on Demand	San Francisco
IDEA 2016	IDEA	2016	KDD 2016 Workshop on Interactive Data Exploration and Analytics (IDEA)	San Francisco, USA
ICIKM 2016	ICIKM	2016	(ICIKM 2016) The 5th International Conference on Information and Knowledge Management	Beijing, China
CD 2016	CD	2016	The 2016 ACM SIGKDD Workshop on Causal Discovery	San Francisco, California
AKTS 2016	AKTS	2016	Special Session on Innovative Applications for Knowledge Transfer Support	Druskininkai, Lithuania
DS 2016	DS	2016	19th International Conference on Discovery Science	Bari, Italy
IEEE DSAA'2016	IEEE DSAA	2016	IEEE DSAA'2016: IEEE International Conference on Data Science and Advanced Analytics	Montreal, Canada
DSAA 2016	DSAA	2016	IEEE DSAA: Third International Conference on Data Science and Advanced Analytics	Montreal, Canada
DIM 2016	DIM	2016	The Fifth IEEE International Workshop on Data Integration and Mining	Pittsburgh
EnGeoData 2016	EnGeoData	2016	Environmental and Geo-spatial Data Analytics - Special Session, DSAA	Montreal, Canada
CCIA 2016	CCIA	2016	19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
JDSA Speical Issue 2016	JDSA Speical Issue	2016	Special issue on Causal Discovery for the Journal of Data Science and Analytics	N/A
TGC@ICONIP 2016	TGC@ICONIP	2016	Special session on Topological & Graph-based Clustering,	Kyoto, Japan
EANN 2016	EANN	2016	17th International Conference on Engineering Applications of Neural Networks	Aberdeen, Scotland
KES-MDA 2016	KES-MDA	2016	KES 2016 Invited Session on Machine Learning for Multimedia Data Analysis	York (UK)
ITCSE 2016	ITCSE	2016	Fifth International Conference on Information Technology Convergence and Services	Sydney , Australia
SMLIR 2016	SMLIR	2016	2nd Workshop on Tools and Technologies in Statistics, Machine Learning and Information Retrieval	Thessaloniki, Greece,
MHDW 2016	MHDW	2016	5th Mining Humanistic Data Workshop	Thessaloniki, Greece
ICDDM 2016	ICDDM	2016	EI Compendex--2016 5th International Workshops on Database and Data Mining (ICDDM 2016)	Chengdu, China
ICKD 2016	ICKD	2016	Ei Compendex--2016 5th International Workshop on Knowledge Discovery (ICKD 2016)	Chengdu, China
ICCCBDA 2016	ICCCBDA	2016	2016 International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2016)-EI,IEEE	Chengdu, China
IDA 2016	IDA	2016	The 15th International Symposium on Intelligent Data Analysis	Stockholm
DMDB 2016	DMDB	2016	Third International Conference on Data Mininig and Database	Vienna, Austria
ISCBI 2016	ISCBI	2016	4th International Symposium on Computational and Business Intelligence	Olten, Switzerland
SNAA 2016	SNAA	2016	The 6th Workshop on Social Network Analysis in Applications	UC Davis, Davis, CA, USA
ITBAM 2016	ITBAM	2016	7th International Conference on Information Technology in Bio- and Medical Informatics	Porto
WCSE-Ei 2016	WCSE-Ei	2016	2016 6th International Workshop on Computer Science and Engineering (WCSE 2016)--EI&SCOPUS	Tokyo, Japan
ICCSN-Ei(IEEE) 2016	ICCSN-Ei(IEEE)	2016	(IEEE)EI Compendex; SCOPUS--2016 8th International Conference on Communication Software and Networks (Ei 2016)	Beijing, China
DBDM 2016	DBDM	2016	Fourth International Conference on Database and Data Mining	Dubai, UAE
ICMIP-Ei 2016	ICMIP-Ei	2016	EI Compendex--ICMIP 2016 the first International Conference on Multimedia and Image Processing	Bandar Seri Begawan, Brunei
ECML-PKDD 2016	ECML-PKDD	2016	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Riva del Garda
Big Data 2016	Big Data	2016	International Conference on Big Data	Alicante, Spain
ICIS- 2016	ICIS-	2016	IEEE International Conference in Information Science,Kochi	Kochi, Kerala
ICDSE 2016	ICDSE	2016	IEEE 2016 International Conference on Data Science and Engineering (ICDSE)	Kochi
RSDA 2016	RSDA	2016	The 3rd IEEE International Workshop on Reliability and Security Data Analysis (co-located with DSN 2016)	Toulouse, FRANCE
MobiMedia 2016	MobiMedia	2016	MOBIMEDIA 2016 9th EAI INTERNATIONAL CONFERENCE ON MOBILE MULTIMEDIA COMMUNICATIONS	Xi'an, China
BIOKDD 2016	BIOKDD	2016	Biological Knowledge Discovery and Data Mining	Porto, Portugal
ICOK 2016	ICOK	2016	2016 International Conference on Knowledge (ICOK 2016)	London, UK
IEEE CSCloud 2016	IEEE CSCloud	2016	The 3rd IEEE International Conference on Cyber Security and Cloud Computing	Beijing City
CLA 2016	CLA	2016	The 13th International Conference on Concept Lattices and their Applications	Moscow, Russia
ICDSC 2016	ICDSC	2016	1st IEEE International Conference on Data Science in Cyberspace	Changsha, China
TSP 2016	TSP	2016	2016 39th International Conference on Telecommunications and Signal Processing (TSP) - IEEE R8 | IEEE Xplore® | SCOPUS	Vienna, Austria
DMKD Special Issue 2016	DMKD Special Issue	2016	Data Mining and Knowledge Discovery -- Special Issue on Sports Analytics	N/A
AMW 2016	AMW	2016	The 10th Alberto Mendelzon International Workshop on Foundations of Data Management (AMW 2016)	Panama City, Panama
EDM 2016	EDM	2016	International Conference on Educational Data Mining June 29, 2016 - July 2, 2016	Raleigh, NC, USA
JECE-SI 2016	JECE-SI	2016	Journal of Electrical and Computer Engineering. Special Issue on “Signal Processing for Multiple Modality Fusion”	N/A
ADMI 2016	ADMI	2016	The Eleventh International Workshop on Agents and Data Mining Interaction	Singapore
ICAD 2016	ICAD	2016	The 22nd International Conference on Auditory Display	Canberra
Sideways - 2016	Sideways -	2016	2nd International Workshop on Social Media World Sensors	Portoroz
DIVAI 2016	DIVAI	2016	11th international scientific conference on Distance Learning in Applied Informatics	Sturovo, Slovakia
KDD 2016	KDD	2016	22nd ACM SIGKDD international conference on knowledge discovery and data mining	San Francisco, USA
IITI 2016	IITI	2016	Intelligent Information Technologies for Industry	Rostov-on-Don
IMMM 2016	IMMM	2016	The Sixth International Conference on Advances in Information Mining and Management	Valencia, Spain
KDDIIS 2016	KDDIIS	2016	IJRSDA special issue on Knowledge Discovery in Data Using Intelligent Information Systems	N/A
Neurocomputing Special Issue SeCoP 2016	Neurocomputing Special Issue SeCoP	2016	Neurocomputing Special Issue on Recent Advances in Semantic Computing and Personalization	N/A
DMDMS 2016	DMDMS	2016	International Workshop on Data Mining for Decision Making Support	Madrid
IDAVis 2016	IDAVis	2016	IDAVis 2016: Workshop on intelligent data analytics and visualization	Hangzhou, China
WebMiReS 2016	WebMiReS	2016	Web Mining and Recommender Systems-PAAMS Special Session	Sevilla, Spain
AI 2016	AI	2016	29th Canadian Conference on Artificial Intelligence	Victoria, BC, Canada
ParLearning 2016	ParLearning	2016	The 5th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Chicago, Illinois, USA
HDMM 2016	HDMM	2016	1st International Workshop on Health Data Management and Mining (HDMM) 2016	Helsinki, Finland
DMS 2016	DMS	2016	Seventh International conference on Database Management Systems	Sydney , Australia
BigD2M 2016	BigD2M	2016	2nd Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	Madrid, Spain
SNOW 2016	SNOW	2016	Third Workshop on Social News on the Web	Montreal
MLDM 2016	MLDM	2016	Machine Learning and Data Mining in Pattern Recognition	New York, USA
PPDMA 2016	PPDMA	2016	IEEE IJCNN/WCCI 2016 Special Session on “Privacy-preserving in Data Mining and Applications”	Vancouver, Canada
SET 2016	SET	2016	IEEE IJCNN/WCCI 2016 Special Session on “Smart Educational Techniques in Big Data Age”	Vancouver, Canada
Insight 2016	Insight	2016	Scientific data as viewed from an aesthetic perspective	Klagenfurt, Austria
MPCHS 2016	MPCHS	2016	1st International Workshop on Multi-Perspective Consumer Health Search	Montreal, Canada
FMML 2016	FMML	2016	WCCI2016 Special Session on Fuzzy-based methods for machine learning: data preprocessing, learning models and their applications	Vancouver, Canada
DKMP 2016	DKMP	2016	Fourth International Conference on Data Mining & Knowledge Management Process	Dubai , UAE
NCCOCE 2016	NCCOCE	2016	National Conference on Challenges and oppourtunities in computer Engineering	Bangalore
SDMA 2016	SDMA	2016	4rth Symposium on Data Mining Applications (SDMA 2016)	Riyadh, Saudi Arabia
CyberSec 2016	CyberSec	2016	Call for Book Chapters- A New book on Cyber Security- Studies in Computational Intelligence-Springer	Studies in Computational Intelligence
MTAP Special Issue STBMDM 2016	MTAP Special Issue STBMDM	2016	Multimedia Tools and Applications (Impact Factor: 1.346) Special Issue: Smart Transportation Based on Multimedia Data Mining	N/A
(BDM'16) 2016	(BDM'16)	2016	5Th PAKDD workshop on Bio-Inspired Data Mining - Auckland, NZ.	Auckland New zealand
SeCoP 2016	SeCoP	2016	The 3rd International Workshop on Semantic Computing and Personalization (SeCoP 2016)	Dallas, TX, USA
IWSPA 2016	IWSPA	2016	International Workshop on Security And Privacy Analytics - 2016	New Orleans, USA
HAIS 2016	HAIS	2016	The 11th International Conference on Hybrid Artificial Intelligence Systems	Sevilla, Spain
BDQM 2016	BDQM	2016	The 1st International Workshop on Big Data Quality Management	Dallas, TX
BigData4Healthcare 2016	BigData4Healthcare	2016	1st International Workshop on Big Data Analytics for Healthcare and Well-being	Hong Kong, China
Advances in Learning with Kernels@ESANN 2016	Advances in Learning with Kernels@ESANN	2016	**deadline extended** Special session - Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints	Bruges (Belgium)
IEEE BigDataService 2016	IEEE BigDataService	2016	IEEE International Conference on Big Data Computing Service and Applications	Oxford, UK
Infovis & ML CFP at ESANN 2016	Infovis & ML CFP at ESANN	2016	Special session on Information Visualisation and Machine Learning: Techniques, Validation and Integration at ESANN 2016	Bruges, Belgium
FLAIRS 2016	FLAIRS	2016	FLAIRS-29: Special Track in Data Mining	Key Largo
FLAIRS-RS 2016	FLAIRS-RS	2016	Florida Artificial Intelligence Research Society - RecSys Special Track	Key Largo, FL USA
ICACI 2016	ICACI	2016	8th International Conference on Advanced Computational Intelligence	Chiang Mai, Thailand
SANER 2016	SANER	2016	23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering	Osaka, Japan
INDIACom-2016(OMSA) 2016	INDIACom-2016(OMSA)	2016	Special Session - Opinion Mining and Sentiment Analysis	New Delhi
ITNG 2016	ITNG	2016	13th Int'l Conf. on Information Technology- New Generations	Las Vegas, Nevada
CODS 2016	CODS	2016	ACM IKDD Conference on Data Sciences, 2016	Pune, India
ICDE 2016	ICDE	2016	International Conference on Data Engineering	Helsinki, Finland
L@S 2016	L@S	2016	L@S 2016: Third Annual ACM Conference on Learning at Scale	Edinburgh, United Kingdom
